Date/Time,FURNACE_DX_A_B_G_L HEATING COIL:Heating Coil Air Heating Rate [W](Hourly),FURNACE_DX_B_C_H_G HEATING COIL:Heating Coil Air Heating Rate [W](Hourly),FURNACE_DX_C_D_I_H HEATING COIL:Heating Coil Air Heating Rate [W](Hourly),FURNACE_DX_D_E_J_I HEATING COIL:Heating Coil Air Heating Rate [W](Hourly),FURNACE_DX_E_F_K_J HEATING COIL:Heating Coil Air Heating Rate [W](Hourly),FURNACE_DX_L_K_F_A HEATING COIL:Heating Coil Air Heating Rate [W](Hourly),FURNACE_DX_G_H_I_L HEATING COIL:Heating Coil Air Heating Rate [W](Hourly),FURNACE_DX_I_J_K_L HEATING COIL:Heating Coil Air Heating Rate [W](Hourly),FURNACE_DX_A_B_G_L COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),FURNACE_DX_B_C_H_G COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),FURNACE_DX_C_D_I_H COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),FURNACE_DX_D_E_J_I COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),FURNACE_DX_E_F_K_J COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),FURNACE_DX_L_K_F_A COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),FURNACE_DX_G_H_I_L COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),FURNACE_DX_I_J_K_L COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
